Mã,Tên vị trí,Phòng ban,Cấp,Còn thiếu,Mục đích vị trí,Kết quả đầu ra (mỗi dòng một mục),Nhiệm vụ (mỗi dòng một mục),Năng lực (TD-A04),"Quy trình (TD-C01, ngăn bằng dấu phẩy)",Tình trạng,Ghi chú,Người sửa
VT-01-H01,Chủ tịch Hội đồng Quản trị,01 Ban Quản trị,Head,nhiệm vụ (12 dòng) · năng lực,"Chủ tịch Hội đồng Quản trị dẫn dắt Ban Quản trị (BQT) thực hiện đầy đủ chức năng giám sát và phê duyệt trong phạm vi thẩm quyền bảo lưu, bảo đảm công ty được quản trị minh bạch, tuân thủ pháp luật và bảo vệ lợi ích của cổ đông. Vị trí này không tham gia điều hành hoạt động hằng ngày (thuộc thẩm quyền CEO) mà tập trung vào: tổ chức các phiên họp và quyết nghị của BQT; phê duyệt mục tiêu, ngân sách và các quyết định vượt ngưỡng uỷ quyền của CEO; giám sát và đánh giá kết quả điều hành của CEO; bảo đảm phương án kế nhiệm CEO luôn sẵn sàng; và chủ trì tổ chức Đại hội đồng cổ đông thường niên.","Nghị quyết Ban Quản trị ban hành đúng thủ tục sau mỗi phiên họp, có biên bản và chữ ký đầy đủ
Mục tiêu năm, ngân sách và các quyết định vượt ngưỡng ủy quyền của CEO được phê duyệt hoặc bác bỏ, có căn cứ ghi trong biên bản
Kết quả đánh giá Trưởng ban điều hành theo kỳ, kèm kết luận về mức hoàn thành và điều chỉnh cần thiết
Phương án kế nhiệm Trưởng ban điều hành luôn ở trạng thái sẵn sàng, được rà soát ít nhất một lần mỗi năm
Đại hội đồng cổ đông thường niên tổ chức đúng luật: tài liệu gửi đúng hạn, nghị quyết được thông qua và công bố",,Chờ TD-A04 mở rộng,,Đã ban hành v2,,
VT-01-L01,Thành viên Ban Quản trị độc lập,01 Ban Quản trị,Lead,mục đích cụt · nhiệm vụ (10 dòng) · năng lực,"Mang góc nhìn độc lập và khách quan vào các quyết định của Ban Quản trị, bảo vệ lợi ích của công ty và của cổ đông…","Ý kiến độc lập bằng văn bản cho từng nội dung trình Ban Quản trị thuộc phạm vi thẩm quyền bảo lưu
Phiếu biểu quyết có nêu lý do đối với giao dịch với bên liên quan hoặc có xung đột lợi ích
Cảnh báo sớm gửi Chủ tịch khi phát hiện rủi ro quản trị mà Ban Điều hành chưa xử lý
Bản xác nhận tính độc lập được cập nhật hằng năm theo quy định",,Chờ TD-A04 mở rộng,,Đã ban hành v2,,
VT-01-L02,"Trưởng Ủy ban Kiểm toán và Quản trị nội bộ - Chair of the Audit Committee. Là thành viên Ban Quản trị độc lập, có chuyên môn về tài chính kế toán, không kiêm nhiệm chức danh điều hành trong công ty",01 Ban Quản trị,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận ủy quyền và nhiệm vụ từ Ban Quản trị, chuyển thành chương trình giám sát độc lập đối với báo cáo tài chính,…","Chương trình kiểm toán nội bộ năm được Ban Quản trị phê duyệt, rõ phạm vi và nguồn lực
Báo cáo của Ủy ban sau mỗi kỳ: kết luận về báo cáo tài chính, phát hiện kiểm toán và hành động khắc phục
Ý kiến của Ủy ban về lựa chọn và thù lao của kiểm toán độc lập
Danh sách phát hiện quá hạn khắc phục kèm kiến nghị xử lý, gửi Ban Quản trị",,Chờ TD-A04 mở rộng,,Đã ban hành v2,,
VT-01-L03,"Trưởng Ủy ban Lương thưởng và Đãi ngộ - Chair of the Remuneration Committee. Là thành viên Ban Quản trị độc lập, không kiêm nhiệm chức danh điều hành trong công ty",01 Ban Quản trị,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận ủy quyền và nhiệm vụ từ Ban Quản trị, chuyển thành chính sách đãi ngộ cấp cao theo nguyên tắc 3P là vị trí,…","Chính sách đãi ngộ cấp cao theo nguyên tắc 3P được Ban Quản trị phê duyệt
Khung lương thưởng và quỹ thưởng năm gắn với chỉ tiêu đã duyệt
Đề xuất mức thưởng và điều chỉnh lương cho Trưởng ban điều hành và các Head, có căn cứ đo lường
Báo cáo của Ủy ban đối chiếu mức chi trả thực tế với chính sách đã ban hành",,Chờ TD-A04 mở rộng,,Đã ban hành v2,,
VT-01-L04,"Trưởng Ủy ban Nhân sự và Kế nhiệm - Chair of the Nomination and Succession Committee. Là thành viên Ban Quản trị độc lập, không kiêm nhiệm chức danh điều hành trong công ty",01 Ban Quản trị,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận ủy quyền và nhiệm vụ từ Ban Quản trị, chuyển thành chương trình làm việc của Ủy ban Nhân sự và Kế nhiệm gồm…","Tiêu chí và quy trình đề cử thành viên Ban Quản trị và các chức danh chủ chốt
Bản đồ kế nhiệm cho Trưởng ban điều hành và các vị trí trọng yếu, cập nhật hằng năm
Hồ sơ đề xuất nhân sự trình Ban Quản trị kèm đánh giá năng lực
Báo cáo của Ủy ban về mức độ sẵn sàng của đội ngũ kế cận",,Chờ TD-A04 mở rộng,,Đã ban hành v2,,
VT-01-S01,Thư ký Ban Quản trị,01 Ban Quản trị,Staff,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Bảo đảm Ban Quản trị và các ủy ban vận hành đúng thủ tục và đúng nhịp: triệu tập hợp lệ, tài liệu đầy đủ và gửi…","Giấy triệu tập và tài liệu họp gửi đủ, đúng hạn trước mỗi phiên Ban Quản trị và các ủy ban
Biên bản họp và nghị quyết soạn đúng mẫu, ký và lưu trữ đầy đủ
Sổ theo dõi nghị quyết với tình trạng thực hiện của từng đầu việc
Hồ sơ pháp lý của Ban Quản trị và Đại hội đồng cổ đông lưu trữ đúng quy định, tra cứu được",,Chờ TD-A04 mở rộng,,Đã ban hành v2,,
VT-01-S02,Trợ lý Chủ tịch Hội đồng Quản trị,01 Ban Quản trị,Trợ lý,mục đích cụt · nhiệm vụ (0 dòng) · năng lực,"Hỗ trợ trực tiếp Chủ tịch Hội đồng Quản trị: theo dõi, tổng hợp, nhập liệu và soát xét (review) số liệu/kế hoạch trên các phiên bản CHƯA KHÓA (mọi nội dung tự nhập/sửa hiển thị màu đỏ); được xem toàn bộ chuỗi dữ liệu từ Hoạch định → Kế hoạch năm → Kế hoạch quý/tháng → Kế hoạch tuần; sau đó trình Chủ tịch xem, sửa và phê duyệt/khóa — không có quyền tự phê duyệt…","Bản tổng hợp số liệu và kế hoạch trên các phiên bản chưa khóa, phần tự nhập đánh dấu màu đỏ để phân biệt
Bản soát xét chỉ ra điểm lệch giữa Hoạch định, Kế hoạch năm, kế hoạch quý tháng và kế hoạch tuần
Hồ sơ trình Chủ tịch đủ căn cứ để xem, sửa và phê duyệt trong một lần
Nhật ký theo dõi việc Chủ tịch đã giao, kèm tình trạng và hạn của từng việc",,Chờ TD-A04 mở rộng,,"Bản thảo mới — bổ sung 19/08/2026 theo yêu cầu Chủ tịch/CEO, chưa qua quy trình duyệt JD chuẩn",,
VT-02-H01,Head of Platform IT - Trưởng đơn vị Nền tảng công nghệ sản phẩm,02 Nền tảng CNTT dùng chung,Head,nhiệm vụ (13 dòng) · năng lực · quy trình (thiếu 3 mã),"Head of Platform IT chịu trách nhiệm xây dựng, vận hành và bảo đảm độ tin cậy của nền tảng công nghệ sản phẩm my-afp.com — hệ thống ERP lõi phục vụ toàn bộ 22 phòng ban của AFP. Vị trí này nhận định hướng và ngân sách công nghệ từ Trưởng ban điều hành, chuyển hoá thành lộ trình sản phẩm nền tảng, tổ chức đội ngũ Platform IT thực thi, và chịu trách nhiệm cuối cùng trước CEO về mức độ sẵn sàng hệ thống, chất lượng dữ liệu gốc, và an toàn của các kết nối API giữa các phân hệ — bao gồm cả các kết nối phục vụ ứng dụng AI đang được mở rộng trong công ty.","Lộ trình sản phẩm nền tảng my-afp.com theo quý, được Trưởng ban điều hành duyệt cùng ngân sách
Mức sẵn sàng hệ thống đạt cam kết, có số liệu theo dõi và báo cáo sự cố theo kỳ
Danh mục API giữa các phân hệ có tài liệu, phân quyền và nhật ký truy cập
Quy tắc kiểm tra chất lượng dữ liệu gốc của 22 phòng ban và báo cáo sai lệch định kỳ",,Chờ TD-A04 mở rộng,"02-P01, 02-P02, 02-P03, 02-P04",Bản thảo chờ duyệt,,
VT-02-L01,Lead Platform IT - Trưởng nhóm Nền tảng dữ liệu và Ứng dụng,02 Nền tảng CNTT dùng chung,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận các dòng nhiệm vụ và chỉ tiêu đã được Head of Platform IT phân bổ, xác nhận hoặc đề xuất điều chỉnh, rồi chia tiếp…","Kế hoạch phát triển và vận hành từng phân hệ theo chu kỳ, rõ người phụ trách và hạn
Bản phát hành đã kiểm thử, kèm ghi chú thay đổi và phương án quay lui
Báo cáo sự cố và thời gian khắc phục theo từng phân hệ
Tài liệu kỹ thuật và hướng dẫn người dùng của các phân hệ nhóm phụ trách",,Chờ TD-A04 mở rộng,"02-P01, 02-P02, 02-P03, 02-P04",Bản thảo chờ duyệt,,
VT-02-S01,Platform Operations Officer - Chuyên viên Vận hành nền tảng,02 Nền tảng CNTT dùng chung,Staff,mục đích cụt · nhiệm vụ (11 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận nhiệm vụ từ Lead Platform IT theo phân hệ và đầu việc được phân công, thực hiện đúng quy trình của phòng và đúng…","Nhật ký vận hành và sao lưu hằng ngày, có xác nhận khôi phục thử định kỳ
Phiếu yêu cầu của người dùng đóng đúng hạn theo mức ưu tiên
Bản ghi giám sát hiệu năng và cảnh báo, kèm hành động đã xử lý
Dữ liệu chuẩn hóa theo quy tắc của từ điển nền, sai lệch báo về Lead trong ngày",,Chờ TD-A04 mở rộng,"02-P01, 02-P02, 02-P03, 02-P04",Bản thảo chờ duyệt,,
